ID,myVar,depth
1,554,3.5
2,485,3.5
3,572,60.2
4,572,60.2
5,383,60.2
6,261,60.2
7,304,60.2
8,392,60.2
9,363,60.2
10,383,60.2
11,396,60.2
12,578,60.2
13,515,60.2
14,354,60.2
15,366,60.2
16,336,60.2
17,410,60.2
18,356,60.2
19,285,60.2
20,260,60.2
21,270,60.2
22,290,60.2
23,250,60.2
24,377,60.2
25,433,60.2
26,435,60.2
27,410,60.2
28,435,60.2
29,445,60.2
30,418,60.2
31,253,60.2
32,253,60.2
33,253,60.2
34,546,60.2
35,546,60.2
36,664,60.2
37,383,60.2
38,403,60.2
39,531,60.2
40,471,60.2
41,358,60.2
42,358,60.2
43,358,60.2
44,340,60.2
45,625,4.5
46,500,4.5
47,652,4.5
48,480,4.5
49,681,4.5
50,681,4.5
51,642,4.5
52,511,4.5
53,584,4.5
54,471,4.5
55,501,4.5
56,501,4.5
57,625,4.5
58,592,4.5
59,525,4.5
60,615,4.5
61,571,4.5
62,428,4.5
63,562,4.5
64,562,4.5
65,435,4.5
66,501,4.5
67,427,4.5
68,475,4.5
69,611,4.5
70,395,4.5
71,417,4.5
72,585,4.5
73,415,3.5
74,345,3.5
75,572,3.5
76,394,3.5
77,353,3.5
78,611,3.5
79,605,3.5
80,473,3.5
81,301,3.5
82,352,3.5
83,387,3.5
84,281,3.5
85,461,3.5
86,381,3.5
87,475,3.5
88,512,3.5
89,582,3.5
90,682,3.5
91,545,3.5
92,497,3.5
93,480,3.5
94,331,3.5
95,556,3.5
96,540,3.5
97,620,3.5
98,361,3.5
99,531,3.5
100,505,3.5
101,621,3.5
102,339,3.5
103,313,3.5
104,587,3.5
105,481,3.5
106,281,3.5
107,354,3.5
108,583,3.5
109,554,3.5
110,286,3.5
111,653,3.5
112,571,3.5
113,360,3.5
114,592,3.5
115,693,3.5
116,297,3.5
117,365,3.5
118,455,3.5
119,255,3.5
120,693,3.5
121,683,3.5
122,485,3.5
123,628,3.5
124,558,3.5
125,434,3.5
126,407,3.5
127,405,3.5
128,378,3.5
129,460,3.5
130,521,3.5
131,583,3.5
132,420,3.5
133,706,3.5
134,408,56.1
135,347,56.1
136,347,56.1
137,347,56.1
138,347,56.1
139,337,63.1
140,337,63.1
141,337,63.1
142,432,65.6
143,432,65.6
144,432,65.6
145,444,65.6
146,444,65.6
147,430,65
148,430,65
149,430,65
150,430,65
151,400,65
152,400,65
153,422,62.7
154,377,47.1
155,391,47.1
156,365,47.1
157,232,47.1
158,281,47.1
159,310,47.1
160,310,47.1
161,322,47.1
162,322,47.1
163,322,47.1
164,353,47.1
165,353,47.1
166,446,47.1
167,446,47.1
168,403,47.1
169,403,47.1
170,482,47.1
171,482,47.1
172,432,47.1
173,432,47.1
174,432,47.1
175,420,47.1
176,420,47.1
177,505,47.1
178,505,47.1
179,351,47.1
180,351,47.1
181,357,47.1
182,357,47.1
183,357,47.1
184,441,47.1
185,423,47.1
186,423,47.1
187,423,47.1
188,515,47.1
189,515,47.1
190,515,47.1
191,515,47.1
192,365,47.1
193,237,47.1
194,237,47.1
195,237,47.1
196,237,47.1
197,237,47.1
198,417,47.1
199,417,47.1
200,423,47.1
201,423,47.1
202,423,47.1
203,423,47.1
204,492,47.1
205,492,47.1
206,492,47.1
207,255,47.1
208,255,47.1
209,255,47.1
210,255,47.1
211,270,47.1
212,270,47.1
213,270,47.1
214,270,47.1
215,159,47.1
216,159,47.1
217,159,47.1
218,319,47.1
219,319,47.1
220,319,47.1
221,319,47.1
222,437,47.1
223,437,47.1
224,408,47.1
225,352,47.1
226,352,47.1
227,352,47.1
228,258,47.1
229,374,47.1
230,374,47.1
231,413,47.1
232,419,47.1
233,419,47.1
234,419,47.1
235,357,47.1
236,357,47.1
237,372,47.1
238,297,47.1
239,297,47.1
240,297,47.1
241,342,47.1
242,342,47.1
243,407,47.1
244,407,47.1
245,407,47.1
246,407,47.1
247,407,47.1
248,477,47.1
249,477,47.1
250,477,47.1
251,462,47.1
252,462,47.1
253,462,47.1
254,478,47.1
255,478,47.1
256,621,47.1
257,621,47.1
258,407,47.1
259,407,47.1
260,477,47.1
261,477,47.1
262,477,47.1
263,478,47.1
264,621,47.1
265,621,47.1
266,136,27.8
267,417,27.8
268,417,27.8
269,417,27.8
270,417,27.8
271,490,27.8
272,288,43.6
273,390,43.6
274,463,43.6
275,555,43.6
276,426,43.6
277,242,43.6
278,458,43.6
279,375,43.6
280,351,43.6
281,442,43.6
282,540,43.6
283,361,43.6
284,375,43.6
285,225,43.6
286,350,43.6
287,253,43.6
288,331,43.6
289,419,43.6
290,150,43.6
291,161,43.6
292,520,43.6
293,428,3.5
294,546,21.6
295,511,40.4
296,562,40.4
297,411,40.4
298,514,40.4
299,425,40.4
300,163,40.4
301,137,40.4
302,160,40.4
303,240,40.4
304,150,40.4
305,150,40.4
306,141,40.4
307,144,40.4
308,676,29.1
309,434,29.1
310,676,29.1
311,434,29.1
312,441,69.2
313,441,69.2
314,441,69.2
315,531,69.2
316,125,69.2
317,441,69.2
318,531,69.2
319,599,69.2
320,552,69.2
321,517,69.2
322,486,69.2
323,599,69.2
324,182,69.2
325,284,69.2
326,552,69.2
327,552,69.2
328,517,69.2
329,486,69.2
330,182,69.2
331,284,69.2
332,440,40.7
333,440,40.7
334,481,40.7
335,481,40.7
336,448,58.2
337,448,58.2
338,448,58.2
339,525,3.5
340,683,30.8
341,480,30.8
342,584,30.8
343,584,30.8
344,722,30.8
345,633,30.8
346,538,29.7
347,548,29.7
348,437,59.2
349,437,59.2
350,437,59.2
351,437,59.2
352,437,59.2
353,383,59.2
354,400,59.2
355,232,59.2
356,232,59.2
357,232,59.2
358,390,59.2
359,390,59.2
360,390,59.2
361,333,59.2
362,333,59.2
363,333,59.2
364,333,59.2
365,333,59.2
366,447,59.2
367,447,59.2
368,447,59.2
369,447,59.2
370,429,59.2
371,429,59.2
372,429,59.2
373,429,59.2
374,429,59.2
375,298,59.2
376,339,59.2
377,297,59.2
378,384,59.2
379,384,59.2
380,384,59.2
381,384,59.2
382,308,59.2
383,308,59.2
384,308,59.2
385,308,59.2
386,308,59.2
387,308,59.2
388,308,59.2
389,333,59.2
390,333,59.2
391,333,59.2
392,333,59.2
393,333,59.2
394,333,59.2
395,333,59.2
396,319,59.2
397,270,59.2
398,270,59.2
399,270,59.2
400,403,59.2
401,503,59.2
402,503,59.2
403,503,59.2
404,503,59.2
405,503,59.2
406,427,59.2
407,427,59.2
408,427,59.2
409,427,59.2
410,427,59.2
411,427,59.2
412,423,59.2
413,423,59.2
414,423,59.2
415,423,59.2
416,423,59.2
417,423,59.2
418,423,59.2
419,412,59.2
420,412,59.2
421,446,59.2
422,501,59.2
423,501,59.2
424,501,59.2
425,454,64.9
426,454,64.9
427,454,64.9
428,422,64.9
429,422,64.9
430,422,64.9
431,380,64.9
432,380,64.9
433,380,64.9
434,380,64.9
435,385,64.9
436,385,64.9
437,431,64.9
438,431,64.9
439,412,64.9
440,412,64.9
441,412,64.9
442,412,64.9
443,327,64.9
444,265,64.9
445,265,64.9
446,265,64.9
447,265,64.9
448,230,64.9
449,396,64.6
450,444,56.3
451,444,56.3
452,444,56.3
453,162,56.3
454,274,56.3
455,310,56.3
456,252,56.3
457,256,56.3
458,256,56.3
459,256,56.3
460,256,56.3
461,256,56.3
462,256,56.3
463,267,56.3
464,267,56.3
465,267,56.3
466,267,56.3
467,295,56.3
468,244,56.3
469,244,56.3
470,244,56.3
471,244,56.3
472,244,56.3
473,244,56.3
474,151,56.3
475,151,56.3
476,151,56.3
477,366,56.3
478,366,56.3
479,366,56.3
480,366,56.3
481,366,56.3
482,368,56.3
483,232,56.3
484,232,56.3
485,268,56.3
486,268,56.3
487,268,56.3
488,268,56.3
489,264,56.3
490,264,56.3
491,264,56.3
492,635,56.3
493,372,56.3
494,203,56.3
495,292,56.3
496,404,56.3
497,441,56.3
498,441,56.3
499,340,56.3
500,340,56.3
501,340,56.3
502,340,56.3
503,333,56.3
504,215,56.3
505,215,56.3
506,215,56.3
507,215,56.3
508,215,56.3
509,215,56.3
510,211,56.3
511,177,56.3
512,232,56.3
513,232,56.3
514,232,56.3
515,255,56.3
516,255,56.3
517,255,56.3
518,255,56.3
519,255,56.3
520,228,56.3
521,405,56.3
522,382,56.3
523,448,56.3
524,454,56.3
525,385,56.3
526,385,56.3
527,385,56.3
528,385,56.3
529,372,56.3
530,223,56.3
531,223,56.3
532,223,56.3
533,223,56.3
534,223,56.3
535,261,56.3
536,250,56.3
537,156,56.3
538,146,56.3
539,210,56.3
540,211,56.3
541,196,56.3
542,188,56.3
543,223,56.3
544,264,56.3
545,150,56.3
546,242,56.3
547,242,56.3
548,242,56.3
549,242,56.3
550,211,56.3
551,219,56.3
552,256,56.3
553,256,56.3
554,256,56.3
555,256,56.3
556,314,56.3
557,290,56.3
558,367,56.3
559,372,56.3
560,293,56.3
561,293,56.3
562,293,56.3
563,397,56.3
564,431,56.3
565,431,56.3
566,346,56.3
567,346,56.3
568,346,56.3
569,346,56.3
570,346,56.3
571,346,56.3
572,407,56.3
573,407,56.3
574,407,56.3
575,407,56.3
576,345,56.3
577,482,56.3
578,385,56.3
579,385,56.3
580,390,56.3
581,390,56.3
582,390,56.3
583,390,56.3
584,390,56.3
585,360,56.3
586,360,56.3
587,360,56.3
588,360,56.3
589,360,56.3
590,422,56.3
591,427,56.3
592,427,56.3
593,427,56.3
594,427,56.3
595,427,56.3
596,427,56.3
597,427,56.3
598,427,56.3
599,321,56.3
600,321,56.3
601,321,56.3
602,503,3.5
603,316,51.1
604,316,51.1
605,316,51.1
606,316,51.1
607,140,51.1
608,172,51.1
609,172,51.1
610,172,51.1
611,240,51.1
612,240,51.1
613,255,51.1
614,255,51.1
615,255,51.1
616,236,51.1
617,236,51.1
618,239,51.1
619,239,51.1
620,239,51.1
621,239,51.1
622,235,51.1
623,235,51.1
624,235,51.1
625,238,51.1
626,238,51.1
627,238,51.1
628,238,51.1
629,238,51.1
630,249,51.1
631,249,51.1
632,249,51.1
633,249,51.1
634,237,51.1
635,237,51.1
636,237,51.1
637,237,51.1
638,237,51.1
639,237,51.1
640,468,51.1
641,468,51.1
642,468,51.1
643,360,51.1
644,360,51.1
645,345,51.1
646,345,51.1
647,345,51.1
648,471,51.1
649,380,51.1
650,246,51.1
651,246,51.1
652,410,51.1
653,410,51.1
654,252,51.1
655,252,51.1
656,252,51.1
657,252,51.1
658,425,51.1
659,425,51.1
660,251,51.1
661,415,51.1
662,415,51.1
663,415,51.1
664,145,51.1
665,145,51.1
666,145,51.1
667,145,51.1
668,155,42.8
669,155,42.8
670,130,42.8
671,392,42.8
672,392,42.8
673,392,42.8
674,392,42.8
675,311,42.8
676,311,42.8
677,381,42.8
678,446,42.8
679,564,42.8
680,555,42.8
681,587,44.2
682,339,44.2
683,339,44.2
684,324,44.2
685,357,44.2
686,357,44.2
687,425,44.2
688,425,44.2
689,352,44.2
690,343,44.2
691,343,44.2
692,653,44.2
693,593,44.2
694,347,44.2
695,347,44.2
696,347,44.2
697,374,44.2
698,340,44.2
699,340,44.2
700,355,44.2
701,432,44.2
702,432,44.2
703,505,23.1
704,505,23.1
705,505,23.1
706,505,23.1
707,575,27.5
708,472,38.4
709,379,38.4
710,384,38.4
711,468,38.4
712,468,38.4
713,468,38.4
714,636,38.4
715,636,38.4
716,636,38.4
717,627,38.4
718,627,38.4
719,566,38.4
720,401,38.4
721,401,38.4
722,401,38.4
723,401,38.4
724,413,38.4
725,413,38.4
726,413,38.4
727,413,38.4
728,592,18.7
729,566,18.7
730,475,18.7
731,552,18.7
732,696,18.7
733,696,18.7
734,696,18.7
735,696,18.7
736,651,18.7
737,556,18.7
738,589,18.7
739,441,18.7
740,460,18.7
741,586,18.7
742,497,18.7
743,480,18.7
744,600,32.1
745,605,32.1
746,441,32.1
747,637,32.1
748,613,32.1
749,350,32.1
750,382,40.1
751,382,40.1
752,568,40.1
753,568,40.1
754,147,40.1
755,331,40.1
756,252,40.1
757,380,40.1
758,380,40.1
759,380,40.1
760,405,40.1
761,358,40.1
762,306,40.1
763,306,40.1
764,306,40.1
765,306,40.1
766,306,40.1
767,408,40.1
768,408,40.1
769,395,40.1
770,399,40.1
771,575,40.1
772,575,40.1
773,398,40.1
774,431,40.1
775,421,48.1
776,375,48.1
777,375,48.1
778,375,48.1
779,421,48.1
780,336,48.1
781,336,48.1
782,368,48.1
783,374,48.1
784,407,48.1
785,425,48.1
786,442,48.1
787,442,48.1
788,473,48.1
789,473,48.1
790,473,48.1
791,433,3.5
792,415,52.1
793,415,52.1
794,415,52.1
795,415,52.1
796,415,52.1
797,375,52.1
798,351,52.1
799,381,52.1
800,410,52.1
801,410,52.1
802,410,52.1
803,410,52.1
804,410,52.1
805,413,52.1
806,413,52.1
807,413,52.1
808,391,51.4
809,391,51.4
810,391,51.4
811,391,51.4
812,391,51.4
813,330,51.4
814,330,51.4
815,399,51.4
816,399,51.4
817,399,51.4
818,407,51.4
819,407,51.4
820,407,51.4
821,407,51.4
822,310,46.2
823,364,46.2
824,364,46.2
825,364,46.2
826,364,46.2
827,368,46.2
828,537,46.2
829,374,46.2
830,374,46.2
831,374,46.2
832,400,46.2
833,360,46.2
834,345,46.2
835,356,46.2
836,360,46.2
837,401,46.2
838,333,46.2
839,336,46.2
840,336,46.2
841,393,46.2
842,393,46.2
843,393,46.2
844,378,46.2
845,378,46.2
846,378,46.2
847,378,46.2
848,290,46.2
849,293,46.2
850,293,46.2
851,452,46.2
852,402,46.2
853,350,46.2
854,335,46.2
855,379,46.2
856,379,46.2
857,379,46.2
858,340,46.2
859,349,46.2
860,349,46.2
861,178,46.2
862,178,46.2
863,178,46.2
864,178,46.2
865,331,46.2
866,331,46.2
867,331,46.2
868,385,46.2
869,400,46.2
870,385,46.2
871,521,45.6
872,578,45.6
873,519,45.6
874,363,45.6
875,366,45.6
876,557,45.6
877,308,45.6
878,551,45.6
879,368,45.6
880,435,45.6
881,481,45.6
882,482,45.6
883,433,45.6
884,403,45.6
885,403,45.6
886,605,45.6
887,357,45.6
888,571,45.6
889,491,29.5
890,423,29.5
891,421,29.5
892,466,29.5
893,617,29.5
894,528,29.5
895,568,30.5
896,553,30.5
897,446,30.5
898,575,30.5
899,490,30.5
900,422,30.5
901,385,30.5
902,423,30.5
903,638,30.5
904,552,43.4
905,592,43.4
906,497,43.4
907,547,43.4
908,541,43.4
909,541,43.4
910,462,43.4
911,431,43.4
912,397,43.4
913,430,43.4
914,448,43.4
915,403,43.4
916,405,43.4
917,348,43.4
918,290,43.4
919,346,43.4
920,346,43.4
921,346,43.4
922,346,43.4
923,349,44.8
924,355,44.8
925,355,44.8
926,353,44.8
927,413,44.8
928,346,44.8
929,384,44.8
930,358,44.8
931,358,44.8
932,358,44.8
933,400,44.8
934,358,44.8
935,384,44.8
936,317,44.8
937,356,44.8
938,356,44.8
939,356,44.8
940,371,44.8
941,371,44.8
942,371,44.8
943,287,44.8
944,272,44.8
945,337,44.8
946,235,44.8
947,268,44.8
948,385,51.3
949,393,51.3
950,397,51.3
951,351,51.3
952,351,51.3
953,365,51.9
954,390,51.9
955,368,51.9
956,395,47.6
957,386,47.6
958,453,47.6
959,391,47.6
960,342,47.6
961,373,47.6
962,397,47.6
963,375,47.6
964,370,47.6
965,280,47.6
966,383,47.6
967,346,47.6
968,325,47.6
969,266,47.6
970,247,47.6
971,493,41.4
972,458,41.4
973,317,41.4
974,400,41.4
975,706,30.4
976,277,54.7
977,362,66.3
978,395,66.3
979,383,64.4
980,416,62.5
981,378,62.5
982,346,62.5
983,391,62.5
984,417,62.5
985,657,45.7
986,561,45.7
987,437,45.7
988,375,45.7
989,360,45.7
990,327,45.7
991,371,45.7
992,321,45.7
993,311,45.7
994,312,45.7
995,607,27.8
996,432,27.8
997,541,27.8
998,425,27.8
999,389,27.8
1000,556,41.4
1001,577,41.4
1002,575,41.4
1003,532,41.4
1004,487,41.4
1005,482,41.4
1006,427,41.4
1007,427,41.4
1008,322,41.4
1009,325,41.4
1010,310,41.4
1011,535,41.4
1012,656,25.7
1013,470,25.7
1014,546,26.1
1015,547,26.1
1016,411,38.9
1017,308,38.9
1018,342,38.9
1019,306,38.9
1020,353,38.9
1021,470,38.9
1022,509,38.9
1023,274,38.9
1024,198,38.9
1025,220,38.9
1026,317,38.9
1027,564,38.9
1028,472,3.5
1029,582,28.3
1030,732,28.3
1031,478,28.3
1032,478,28.3
1033,478,28.3
1034,478,28.3
1035,478,28.3
1036,534,40.7
1037,631,40.7
1038,398,64.7
1039,398,64.7
1040,398,64.7
1041,398,64.7
1042,398,64.7
1043,398,64.7
1044,390,67.1
1045,390,67.1
1046,390,67.1
1047,390,67.1
1048,390,67.1
1049,390,67.1
1050,390,67.1
1051,390,67.1
1052,390,67.1
1053,390,67.1
1054,464,67.1
1055,464,67.1
1056,464,67.1
1057,464,67.1
1058,464,67.1
1059,464,67.1
1060,464,67.1
1061,464,67.1
1062,464,67.1
1063,464,67.1
1064,401,67.6
1065,370,67.6
1066,328,55.3
1067,257,55.3
1068,392,35.4
1069,537,35.4
1070,381,38.1
1071,322,38.1
1072,409,38.1
1073,342,38.1
1074,496,38.1
1075,367,38.1